Abby
Abigail
Ada
Addison
Adelaide
Adele
Agatha
Agnes
Alaina
Alanna
Alberta
Albina
Alice
Alicia
Alisha
Alison
Alma
Alvina
Amanda
Amber
Amelia
Amy
Ana
Andrea
Andy
Angel
Angela
Angie
Anna
Annabelle
Anne
Annie
Antonia
Arabella
Arda
Ashley
Astrid
Aubrey
Audrey
Autumn
Ava
Averil
Avis
Aviva
Aya
Barb
Barbara
Beatrice
Becca
Becki
Becky
Belinda
Bella
Berenice
Bertha
Bessie
Betsy
Betty
Blanche
Bobbi
Brandy
Breanna
Brenda
Brenda
Brett
Briana
Brianne
Bridget
Brina
Bronwen
Bronwyn
Bryony
Cadence
Camryn
Candy
Carlene
Carlene
Carly
Carmelita
Carol
Carole
Caroline
Carolyn
Cassandra
Cathleen
Cathy
Catriona
Cecilia
Cecily
Celestia
Celia
Celinda
Charis
Charisse
Charity
Charlene
Charlie
Charlotte
Charmaine
Chelsea
Cherry
Cheryl
Chloe
Chrissie
Chrissy
Christabel
Christiane
Christina
Christina
Christine
Christy
Cindy
Claire
Claire
Clara
Claribel
Clarice
Clarissa
Claudia
Clementine
Cleo
Colette
Colleen
Cordelia
Crystal
Cynthia
Daisy
Dana
Dana
Danielle
Danna
Daphne
Darlene
Davina
Dawn
Deanna
Deanne
Deborah
Dede
Delia
Denise
Destiny
Diane
Donna
Dora
Doreen
Dorothy
Drew
Drusilla
Dulcie
Earlene
Edith
Edna
Edwina
Effie
Eileen
Eleanor
Elektra
Eliza
Elizabeth
Ella
Ellen
Ellie
Elsie
Emily
Emma
Enid
Erika
Erika
Erin
Estelle
Esther
Esty
Ethel
Ethelreda
Eudora
Eunice
Eva
Eve
Eve
Evelyn
Evelyne
Faith
Felicity
Fleur
Flora
Florence
Francie
Frida
Gail
Gemma
Genevieve
Georgiana
Gertie
Gertrude
Gia
Giselle
Githa
Glenda
Grace
Gwenda
Gwendolen
Gwendoline
Gwendolyn
Gwyneth
Hannah
Harper
Harriet
Hayden
Heather
Heidi
Helaine
Helen
Helena
Helene
Henrietta
Hero
Hester
Hilary
Hilary
Hilda
Hodierna
Holly
Honor
Hope
Hunter
Ida
Imelda
Imogen
Iona
Irene
Iris
Isabella
Isla
Ivy
Jacqui
Jacquline
Jaime
Jamie
Jamie
Jan
Jana
Jane
Janee
Janet
Janey
Janie
Jay
Jayne
Jaynie
Jeanie
Jemima
Jemma
Jenna
Jennifer
Jenny
Jess
Jessica
Jessie
Joan
Joanna
Joanne
Jodie
Joelle
Joey
Jolie
Josephine
Josie
Joy
Judith
Jules
Julia
Julianne
Julie
Kadia
Karen
Karina
Katey
Kathleen
Kathy
Kathy
Katie
Kay
Kaylee
Kelsey
Kendra
Kierra
Kim
Kim
Kimberly
Kirsten
Kirsty
Kirtin
Kristen
Kristen
Kristi
Kristin
Lana
Lanna
Lara
Laura
Lauren
Laurence
Lauretta
Leah
Leanne
Leila
Leisha
Lena
Lenna
Leonora
Lexi
Liana
Lila
Lilla
Lillian
Lily
Linda
Linday
Lisabeth
Liza
Lizette
Lizzie
Lois
Lorelei
Loretta
Lorna
Lorraine
Louella
Louisa
Louise
Lucia
Lucinda
Lucy
Lynnette
Lysette
Mabel
Madelaine
Madge
Maggie
Malvina
Mandy
Marcia
Marcie
Margaret
Marge
Maria
Mariah
Marian
Marianne
Marie
Marilyn
Marina
Marissa
Marjorie
Marsha
Marta
Mary
Matilda
Maud
Maude
Maureen
Mavis
Maya
Medea
Megan
Mehitable
Melanie
Melissa
Mercedes
Michele
Michelle
Mildred
Millicent
Minna
Minnie
Miranda
Moira
Muriel
Myra
Myrna
Myrtle
Nadine
Naila
Nancy
Narcissa
Natalie
Nicole
Nina
Nocla
Nora
Odette
Olivia
Opal
Patience
Patrice
Patsy
Patty
Paula
Paulina
Pearl
Peggy
Penelope
Penny
Persis
Petunia
Philippa
Poppy
Precious
Priscilla
Rachel
Reba
Rhiannon
Rhoda
Rhonda
Richeldis
Rita
Roberta
Rory
Rosamund
Rose
Rosemary
Ruth
Sabrina
Salma
Samantha
Sandra
Sarah
Selma
Shania
Shanna
Sharon
Shawna
Sheryl
Sibyl
Simone
Skyler
Sophia
Sophie
Stella
Susan
Susanna
Susanne
Suzanne
Sylvia
Talitha
Tallulah
Tamara
Tammy
Tanith
Tara
Teresa
Thelma
Thomasina
Thurza
Tiffany
Tina
Tracy
Trisha
Tyra
Ursula
Valerie
Vanessa
Venetia
Vera
Victoria
Vilma
Viola
Virginia
Vivian
Wanda
Wendy
Whitney
Willa
Wilma
Winifred
Winnie
Winnifred
Yasmin
Yvette
Yvonne
Zelda
