Aaron
Ab
Abe
Abraham
Absalom
Adam
Addison
Adel
Adrian
Adrien
Aidan
Alan
Albert
Alec
Alfred
Alistair
Alvin
Amory
Anderson
Andrew
Andy
Angus
Anthony
Archibald
Arlo
Arnie
Arnold
Arthur
Artie
Ashley
Austen
Austin
Barack
Barnabe
Barry
Bartholomew
Barton
Ben
Benjamin
Bernard
Bert
Bertram
Bill
Billy
Blake
Booth
Brad
Bramwell
Brandon
Brendan
Brennan
Bret
Brett
Brian
Brooks
Bryan
Bubba
Bubby
Buck
Bud
Buddy
Burt
Caleb
Calum
Calvin
Cardew
Carl
Carlton
Cary
Cathal
Chad
Chadwick
Chance
Chandos
Charles
Charley
Charlie
Charlton
Chas
Chet
Chistian
Chuck
Claire
Clare
Claude
Clay
Cleve
Cliff
Clint
Clive
Colby
Colin
Coloman
Colton
Conn
Connor
Corbin
Corey
Cormac
Corrie
Craig
Curtis
Cuthbert
Dana
Dane
Daniel
Darrol
David
Davis
Davy
Delbert
Deorwine
Derek
Derrick
Derwine
Dickon
Dirk
Dobie
Don
Donald
Donovan
Doug
Dougie
Douglas
Drew
Dwight
Eamonn
Earl
Ebenezer
Ed
Eddie
Edgar
Edmund
Edward
Edwin
Elbert
Elliot
Elmer
Emil
Erastus
Eric
Ernest
Ethan
Evelyn
Ezekiel
Felix
Floyd
Francis
Frank
Franklin
Frederick
Gabriel
Gale
Galton
Gareth
Garth
Geoffrey
George
Gerald
Gerard
Gilbert
Godfrey
Gorden
Gordon
Graham
Grant
Grantham
Grayson
Greg
Gregory
Greig
Grover
Gus
Gussie
Haddon
Hal
Hamish
Hank
Harden
Harold
Harry
Hedworth
Henry
Herbert
Herbie
Herman
Hervey
Hilary
Holbrook
Holden
Hope
Horace
Hubert
Hudson
Hugh
Humphrey
Hunter
Ian
Iggy
Jack
Jacob
Jaime
Jake
James
Jamie
Jason
Jasper
Jay
Jeb
Jeff
Jeffery
Jeremy
Jermaine
Jerome
Jerry
Jesse
Jet
Jim
Jimmy
Job
Jodie
Joe
Joel
Joey
John
Johnson
Jolyon
Jonas
Jonathan
Joseph
Joshua
Julian
Justin
Kallen
Kay
Keith
Kellan
Ken
Kenneth
Kenny
Kevin
Kian
Kim
Kimble
Kurt
Kyle
Lachlan
Lanny
Larry
Laurence
Lawrence
Lawton
Lenny
Leonard
Leopold
Lester
Lewis
Lidsay
Linus
Louis
Luther
Mal
Malachi
Malcolm
Mandy
Manuel
Marcus
Mark
Marshall
Marston
Martin
Marvin
Matt
Matthew
Maurice
Max
Maximilian
Mel
Melvin
Michael
Mike
Miles
Milo
Mitch
Moe
Monty
Morrie
Morris
Murray
Myron
Nate
Nathan
Neil
Nicholas
Nick
Nicoas
Noel
Nolan
Norman
Nowell
Osbert
Oscar
Osric
Ossian
Oswald
Otto
Owen
Palmer
Patrick
Patsy
Paul
Peleg
Perry
Pete
Peter
Philip
Phillipps
Quentin
Quinton
Raife
Ralph
Ralphie
Ranald
Randall
Randel
Randell
Randolf
Randolph
Ranulf
Ray
Raymond
Reginald
Reuben
Rex
Rich
Richard
Richie
Ricky
Rob
Robbie
Robert
Roderick
Rodger
Rodney
Roger
Rogers
Ron
Ronald
Rory
Rowland
Rugus
Rupert
Russell
Sam
Samuel
Sebastian
Seth
Shahaf
Shawn
Shayne
Sigmund
Simon
Skyler
Stan
Stanley
Stephen
Steve
Steven
Swaine
Sylvester
Tanner
Taran
Tate
Terence
Thaddeus
Thomas
Tim
Timmy
Timothy
Tobias
Toby
Todd
Tom
Tony
Torquil
Tracy
Travis
Tristan
Troy
Ultan
Valentine
Vicary
Victor
Vince
Vincent
Vivian
Wadsworth
Waldo
Wally
Walt
Walter
Wayne
Whtiney
Wilfred
William
Winnie
Winston
Zach
Zachary
Zack
Zadoc
Zeb
