name
Aberdeenshire
Boghead Farm
Hillhead of Eden
Home Farm
Little Hillbrae
Lower Muirdean
Middle Muirden
Middletack Farm
Mill Farm
Mill Farm
Nether Inglistown
Newmill
North Ardoe Farm
Ordyfauld
Pennan Farm
Scatterty
Selbie
South Cross-slacks
The Buchts Farm
Weetingshill Farm
Allathan
Altries Wood
Ardallie
Auchallater
Badenscoth
Balbithan
Ballogie
Benholm
Berefold
Birkenhills
Birse
Birsemore
Bishopston
Blackchambers
Blairdaff
Bogton
Bothwell Seat
Boyndie
Brathens
Bridge of Canny
Bridge of Dye
Bridge of Gairn
Bridge of Muchalls
Bridgemill
Bridgend
Brodiesord
Broomfield
Bullers of Buchan
Burnhervie
Cambus o' May
Campfield
Carmont Cottages
Chapelhall Cottages
Claybokie
Clola
Cluny
Coalford
Cock Bridge
Corgarff
Cotehill
Coull
Craigdam
Craigearn
Craigwall Cottages
Cultercullen
Cuttyhill
Dalwhing
Denhead
Dess
Drumblade
Drumwhindle
Duncanstone
Durno
East Mains
East Mains of Drum
Easter Balmoral
Eastertown
Fingask
Folla Rule
Garlogie
Garlogie
Garmond
Glassel
Glenbervie
Glendye Lodge
Glenecht
Gordonstown
Gordonstown
Hattoncrook
Haulkerton
Hayhillock
Heughhead
Hillhead of Carnie
Hillhead of Carnie
Hilton
Inchmarnoch
Inverey
Jackstown
Kinellar
King Edward
Kinneff
Kirkton of Logie Buchan
Kirkton of Oyne
Kirktonhill
Landerberry
Largue
Leochel-Cushnie
Leschangie
Lethenty Mill
Linganbo
Little Arnage
Little Ythsie
Lochgreens
Longmanhill
Lost
Mains of Abergeldie
Mains of Drum
Mains of Easter Beltie
Mains of Inverebrie
Mains of Kildrummy
Mains of Kildrummy
Mains of Kildrummy
Mains of Kildrummy
Maryculter Home Farm
Marywell
Mason Lodge
Mid Ardoe
Mid Beltie
Middleton
Midmill
Mill of Beltie
Mill Of Bourtie
Mill of Brotherfield
Mill of Eden
Mill of Fintray
Milton of Cullerlie
Milton of Cushnie
Milton of Logie
Monteach Road
Muir of Alford
Nether Mains
New Kinord
Newmill
North Cookney
North Footie
Ordie
Parsonage
Pitcaple
Pitfichie
Pitmachie
Quilquox
Raitshill
Rashierieve
Riverside of Blairs
Roadside of Catterline
Rora
Roughpark
Shethin
Silverhillocks
Skene House Court
South Auchedly
South Quilquox
St. James's
Stirling Village
Stony Hill
Sunnyside
Tanar
Tanglandford
The Crossroads
Three Wells
Tillydrine
Tillyfourie
Tornaveen
Tullynessle
Warldsend
Waterton
Wells of Ythan
West Bandodle
West Brathens
West Craig
Wester Ord
Wester Ord
Westertown
Whinnyfold
Whitecairns
Whiterashes
Woodend of Glassel
Yonder Bognie
Ythsie

Great Britain
Hospital Island
Scury Islands
Cairn-na-hilt
Inch Geck
Meikle Cammel
Meikle Donnon
Orton
Sand Craig
Starry Red Craig
Temptin'
Alandale Cottage
Auchlinn Cottages
Boggiefern
Boghead Cottage
Bowiebank Cottage
Breda
Burnside
Burnside
Burnside of Auchedly
Chapelton
Clattering Bridge
Cloisterseat
Donniemaud
Drumneachie
East Auchedly
Easter Ardoe
Eden Cottage
Eden House
Heatherknowe
Hill of Minnes
Hillhead Steading
Hillhouse of Eden
Kirktown
Linn Brae
Little Lynturk
Lochbuy
Mains of Auchedly
Mains of Balfour
Mains of Blackhills
Mains of Skene
Mill of Allathan
Mill of Allathan Cottages
Mosshead
Newlands
Newmill
Newton Grange
Newton of Straloch
Newtonhill
North Lodge
Old Craig
Park View
Pittrichie
Quarrybrae of Auchedly
Scatterty Cottages
Shethin Croft Steading
Shethin Smithy
South Faddonhill
Sundayswells
Temple of Fiddes
Tillycairn
Tillyfar
Tomnakeist
Torryleith Stables
Upper Ardoe
Wardhouse
Wellhead
West Auchedly
Woodburn
Aldamph
Aldie
Alltdachie
Am Bealac
Ardoch
Auchabrack
Auchenleith
Auchintoul
Auchmacoy House
Auchnagymlinn
Auchtavan
Auchterellon
Auldgarney
Back Bar
Balblyth
Balfentaig
Balintuim
Balloch
Ballochan
Ballochlaggan
Balmore
Balnaan
Balnalan
Balnoe
Balnuilt
Bealachodhar
Bellamore Craig
Bellman's Head
Bervie Brow
Blackhills
Blackhole
Blackmiddens
Blairglass
Bluebog of Cortes
Boat of Ashogle
Bogbraes
Bogmore
Bogmore
Bogs
Bonnyside
Bonnytonhill
Botany
Boultshoch
Bovaglie
Braenaloin
Braeneach
Braidshaw
Bridgend
Bruntland
Buchan Ness
Bucket Mill
Burnfoot
Burnfoot
Bush
Càrn Mhic an Toisich
Cairn Vaich
Camlet
Carnaquhhen
Castlepark
Charr
Ciach Lodge
Clais Rathadan
Clashmore
Coire an t-Saighdeir
Coire an t-Slugain
Coire Bhrochain
