 artichoke
 aubergine
 asparagus
 legumes
 alfalfa sprout
 azuki bean
 bean sprout
 black bean
 black-eyed pea
 borlotti bean
 broad bean
 chickpea
 green bean
 kidney bean
 lentil
 butter bean
 mung bean
 navy bean
 peanut
 pinto bean
 runner bean
 split pea
 soy bean
 pea
 mangetout
 broccoflower
 broccoli
 brussels sprout
 cabbage
 kohlrabi
 Savoy cabbage
 red cabbage
 cauliflower
 celery
 endive
 frisee
 fennel
 green
 bok choy
 chard
 collard green
 kale
 mustard green
 spinach
 herbs
 anise
 basil
 caraway
 coriander
 chamomile
 daikon
 fennel
 lavender
 lemongrass
 marjoram
 oregano
 parsley
 rosemary
 sage
 thyme
 lettuce
 arugula
 mushrooms
 nettle
 New Zealand spinach
 okra
 chives
 garlic
 leek
 onion
 shallot
 scallion
 capsicum pepper
 bell pepper
 chili pepper
 jalapeño
 habanero
 paprika
 tabasco pepper
 cayenne pepper
 radicchio
 rhubarb
 root vegetable
 beetroot
 mangel-wurzel
 carrot
 celeriac
 eddoe
 konjac
 taro
 water chestnut
 ginger
 parsnip
 rutabaga
 radish
 wasabi
 horseradish
 white radish
 Diakon
 tuber
 jerusalem artichoke
 potato
 sweet potato
 yam
 turnip
 spinach
 topinambur
 Squash
 acorn squash
 bitter melon
 butternut squash
 banana squash
 courgette
 cucumber
 delicata
 gem squash
 hubbard squash
 marrow
 spaghetti squash
 tat soi
 tomato
 watercress
