babirussa
baboon
baya
beagle
beambird
bear
bearhound
beaver
becard
beccafico
becuna
bedbug
bellbird
bernicle
bichir
billbeetle
billbug
billfish
biped
bird
birdikin
bison
bitterling
bittern
black snake
blackbird
blackcap
blackfin
blackfish
blacksnake
blacktail
bladefish
blenny
blesbok
blindfish
blindworm
blowfly
blueback
bluebill
bluebird
bluebreast
bluefin
bluefish
bluepoll
bluethroat
boar
boarfish
boat-tail
boatbill
bobac
bobolink
bobwhite
bockelet
bodian
bolty
bom
bombyx
bonedog
bonefish
boomdas
boomorah
boomslange
borele
boshbok
boshvark
botfly
bottle-nose
bottlehead
boud
bowfin
bowhead
brama
brandlin
branlin
brant
brant-fox
brantail
brasse
breeze fly
brevipen
brid
brinjaree
bristletail
broadbill
brocket
bronzewing
bruang
buansuah
bubale
buceros
buck
buckeye
buckhound
buffalo
bufflehead
bug
bulau
bulbul
bulchin
bull
bull fly
bulldog
bullfinch
bullfly
bullfrog
bullhead
bullock
bullon
bullpout
bumblebee
bummalo
bungarum
burbot
burniebee
burrhel
burro
but-thorn
butterbump
butterfish
butterfly
calf
chick
cock
colt
darner
darter
dog
donkey
egger
elasmobranch
ermine
erne
estrich
etter pike
eulachon
ewe
eyas
eyasmusket
eyra
firedrake
fox
gadbee
gadfly
gadwall
gairfowl
galago
gale-opithecus
galley-bird
gallfly
gallinacean
gallinipper
gallinule
galliwasp
gamecock
gapeworm
gardon
garfish
garganey
garibaldi
gaur
gaverick
gavial
gayal
gazehound
gazel
gazelle
gecko
geckotian
geese
gelada
gemsbok
gemul
genet
geometrid
gerbille
gerlind
gesling
gib-cat
gibbartas
gibbon
gibel
gibfish
gier-eagle
gier-falcon
gilttail
ginnet
glass-snail
glasseye
globard
globefish
glyptodon
gnat
gnu
goa
goat
goatfish
goatherd
goatsucker
gobbler
gobioid
godwit
goggle-eye
golden-eye
goldfinch
goldfinny
goldfish
goldie
golet
goose
gopher
goral
gorebill
gorfly
gorilla
goshawk
goslet
gosling
gossat
goura
gourami
gournet
grackle
grayfly
grayhound
graylag
grebe
green-leek
greenfinch
greenfish
greenhead
greenlet
greenshank
greyhound
grilse
grimme
grison
grivet
grosbeak
grubber
grype
grysbok
guacharo
guan
guana
guanaco
guara
guardfish
guenon
gueparde
guereza
guffer
guib
guillemot
gulaund
gull
gunnel
gurnet
gyrfalcon
gyrodus
gyrolepis
hind
hoddydoddy
hog
hound
ianthina
ibex
ibis
icebird
ichneumon
ichneumonidan
iguana
ingena
inia
inkfish
insect
insecta
jabiru
jaguar
jaguarondi
jararaca
jashawk
jay
jelerang
jennet
jewfish
jharal
junco
jurel
maalin
macaco
macacus
macaque
macauco
macavahu
macaw
mackerel
maclurea
macrodactyl
macropod
macropus
mactra
madoqua
maggot
magot-pie
magpie
maguari
maharif
maholi
mahoohoo
maikel
maikong
malapterurus
malashaganay
malbrouck
maleo
malma
mammoth
manakin
manatee
mandrill
mantis
manul
mapach
mara
marabou
maracan
marcassin
mare
marena
margay
marimonda
markhoor
marlin
marmose
marmoset
marmot
marmozet
marrot
marsipobranch
marsupial
marsupium
martin
martineta
martlet
marysole
massasauga
mastodonsaurus
matamata
mattages
maucaco
maukin
mawk
mawworm
mayfish
mazame
melanure
meliphagan
menhaden
merle
merlin
meropidan
merulidan
messet
mico
midge
milvus
minivet
mink
minnow
miohippus
moco
mohr
mola
molebut
mona
monkfish
moon-eye
moonfish
moose
morgay
morpho
mosquito
motacil
moth
motmot
mousefish
mucivore
muckworm
mudfish
mudwall
mule
muntjac
murrelet
mus
muscid
musketo
muskrat
musquaw
musquito
mustac
myxinoid
namaycush
nape-crest
napu
narwhal
nassa
natterjack
nautiloid
nayaur
necrophagan
nectocalyx
needlefish
nefasch
nestling
newt
ngina
nightingale
nine-killer
notornis
nototherium
nursehound
nuthatch
nyctibune
nye
nyentek
nylgau
ocelot
odontopteryx
oo
oquassa
orabassu
oriole
ornithorhynchus
ortygan
ospray
ossean
ossifrage
otter
ouarine
oul
ourang-outang
ourebi
owl
oxbird
pantophagist
parasite
pig
plesiosaurian
prad
pratincole
predacean
prester
pricket
pronghorn
pudu
puerco
puffer
puffin
pug
pullus
puma
pup
puppy
qua-bird
quab
quacha
quagga
quail
quaverer
queenfish
quet
quica
quickhatch
quillback
quirpele
rabbit
raccoon
rackabones
raptor
rat
ratel
rattlehead
rattlemouse
rattlesnake
raven
razorbill
rear-horse
rearmouse
redbreast
redfin
redfinch
redfish
redhorn
redia
redtail
reedbird
reedbuck
reedling
reindeer
reptile
reptilian
reremouse
rhesus
rhino
rhinoceros
rhinocerote
rhipipter
ricebird
ringbird
ringtail
ringworm
roach
roan
robin
robinet
rockfish
rook
roostcock
rooster
rorqual
rosefish
rostrulum
rutilian
sable
sailfish
saimir
saithe
salamander
sandfish
sandpiper
sandre
sandworm
sanguisuge
sapajou
sarcelle
sarcoptes
sasin
saw-whet
sawfish
sawfly
sawhorse
scalaria
scaldfish
scallop
scamell
scissorsbill
sciurine
sciurus
scolopendra
scolytid
scomber
scopeloid
sculpin
seal
securipalp
seirfish
sloth
snail
snapper
soosoo
soulili
sparhawk
sparve
speight
sphex
spider
spight
spikebill
spikefish
spiketail
spineback
spinebill
spinetail
split-tail
spoonbill
spoutfish
sprat
sprigtail
springbuck
springtail
sprod
squab-chick
squacco
squeteague
squid
squilla
stag
staggard
staghound
stagworm
stalking-horse
stallion
standard-wing
stannel
staphylinid
starfinch
starfish
stegosaurus
steinbock
stellerid
stellion
sterlet
sterrink
sticktail
stifftail
stingaree
stingbull
stingtail
stockdove
stockfish
stone-horse
stormcock
stot
strawworm
strepsorhine
strich
sturgeon
stylaster
stylops
subulipalp
suckfish
sula
sunbird
sunfish
sunsquall
surdiny
surmulot
surucucu
suslik
swallowfish
swan
swanherd
swine
swinefish
swineherd
swinepipe
swingdevil
swingletail
swordbill
swordfish
swordick
tabanus
